reward_amount,reward_type,type1,key1,type2,key2,type3,key3
1,OVR,TEAM,SJS,CARD,GM1452322051,TEAM,EDM
2,OVR,TEAM,SJS,TEAM,CGY,CARD,GM1452322051
2,OVR,CARD,COM221123347,TEAM,CGY,TEAM,EDM
5,AP,TEAM,CGY,TEAM,CGY,CARD,GM1452322051
5,AP,CARD,CHEL1483448997,CARD,GM1452322051,TEAM,EDM
1,OVR,CARD,HUTC1625812762,TEAM,MTL,CARD,GB532693055
1,OVR,CARD,SPOT1973133835,CARD,SPOT1973133835,CARD,SPOT1973133835
5,AP,TEAM,MTL,NATIONALITY,GERMANY,TEAM,TOR
2,OVR,TEAM,BOS,CARD,GM1452322051,TEAM,OTT
1,OVR,TEAM,TOR,TEAM,BOS,TEAM,MTL
6,SAL,TEAM,OTT,NATIONALITY,USA,TEAM,BOS
1,OVR,CARD,GM1452322051,TEAM,NYR,NATIONALITY,USA
1,OVR,TEAM,OTT,NATIONALITY,CANADA,CARD,SOTM1890082452
2,OVR,NATIONALITY,GERMANY,CARD,ICON1839666300,TEAM,DAL
2,OVR,TEAM,TBL1445825681,CARD,COM221123347,TEAM,WSH
1,OVR,NATIONALITY,SWEDEN,CARD,COM221123347,TEAM,NSH
1,OVR,TEAM,LAK,TEAM,SJS,CARD,COM221123347
1,OVR,CARD,COM221123347,TEAM,SJS,CARD,NG1335151415
7,SAL,NATIONALITY,SWEDEN,NATIONALITY,SWEDEN,NATIONALITY,SWEDEN
3,AP,TEAM,PHI,TEAM,PHI,TEAM,PHI
3,AP,TEAM,WPG,TEAM,WPG,TEAM,WPG
3,AP,TEAM,COL,TEAM,COL,TEAM,COL
12,AP,TEAM,DET,TEAM,DET,TEAM,DET
1,OVR,CARD,CHEL1483448997,CARD,CHEL1483448997,CARD,CHEL1483448997
1,OVR,CARD,SPOT1973133835,TEAM,SJS,CARD,ICON1839666300
6,SAL,TEAM,ANA,TEAM,ANA,TEAM,ANA
6,SAL,TEAM,BOS,TEAM,BOS,TEAM,BOS
7,SAL,NATIONALITY,USA,NATIONALITY,USA,NATIONALITY,USA
20,SAL,CARD,FANT1310536400,CARD,FANT1310536400,CARD,FANT1310536400
7,SAL,CARD,CAP547305595,TEAM,NJD,TEAM,PIT
7,SAL,TEAM,EDM,TEAM,COL,TEAM,MIN
5,SAL,TEAM,VAN,TEAM,SEA,TEAM,SJS
6,SAL,TEAM,TOR,TEAM,OTT,NATIONALITY,SLOVAKIA
7,SAL,TEAM,NYR,TEAM,DET,TEAM,CHI
9,SAL,TEAM,MTL933335877,TEAM,NY1593607409,TEAM,MIN331544320
9,SAL,TEAM,BOS1675369414,TEAM,MIN331544320,TEAM,OTT594377757
9,SAL,TEAM,TOR1508148519,TEAM,VAN1737906214,TEAM,MTL933335877
9,SAL,CARD,CAP547305595,TEAM,TOR,TEAM,SEA1450460351
3,AP,TEAM,ANA,TEAM,ANA,TEAM,ANA
3,AP,TEAM,BOS,TEAM,BOS,TEAM,BOS
3,AP,CARD,COM221123347,CARD,COM221123347,CARD,COM221123347
3,AP,CARD,CAP547305595,TEAM,UTA,TEAM,STL
3,AP,CARD,CAP547305595,TEAM,TOR,TEAM,CGY
3,AP,TEAM,UTA,CARD,FANT1310536400,TEAM,CHI
3,AP,CARD,TOTW1700000371,CARD,SOTM1890082452,CARD,TOTW1700000371
3,AP,CARD,CAP547305595,TEAM,OTT,TEAM,CBJ
3,AP,TEAM,ANA,CARD,SOTM1890082452,TEAM,LAK
3,AP,CARD,GB532693055,TEAM,PIT,TEAM,CAR
3,AP,CARD,COM221123347,TEAM,SJS,NATIONALITY,CZECHIA
3,AP,TEAM,DET,TEAM,MTL,NATIONALITY,DENMARK
3,AP,TEAM,TBL1445825681,TEAM,BUF,CARD,CAP547305595
5,AP,NATIONALITY,USA,CARD,NG1335151415,TEAM,PIT
6,AP,TEAM,NY1593607409,TEAM,MTL933335877,TEAM,BOS1675369414
6,AP,TEAM,MIN331544320,TEAM,SEA1450460351,TEAM,VAN1737906214
6,AP,CARD,HH53168636,TEAM,DET,TEAM,SEA1450460351
1,OVR,TEAM,TBL1445825681,TEAM,BUF,TEAM,DET
1,OVR,NATIONALITY,FINLAND,CARD,NG1335151415,TEAM,NIA1542494946
1,OVR,TEAM,STL,CARD,NG1335151415,NATIONALITY,CANADA
1,AP,CARD,HUTC1625812762,TEAM,MTL,CARD,GB532693055
1,OVR,CARD,HH53168636,CARD,ICON1839666300,CARD,FANT1310536400
1,OVR,CARD,NG1335151415,TEAM,PHI,TEAM,WSH
1,OVR,CARD,TOTW1700000371,TEAM,FLA,TEAM,NYI
1,OVR,TEAM,DAL,TEAM,WPG,CARD,NG1335151415
1,OVR,NATIONALITY,SWEDEN,CARD,ROOK1417005474,TEAM,TOR
1,OVR,NATIONALITY,GERMANY,CARD,XP611618000,TEAM,EDM
1,OVR,TEAM,EDM,CARD,ICON1839666300,CARD,ALUM1863645152
1,OVR,TEAM,MTL933335877,TEAM,TOR1508148519,TEAM,OTT594377757
1,OVR,TEAM,NY1593607409,TEAM,OTT594377757,TEAM,VAN1737906214
